run_accession	sample_accession	sample_alias	sample_group	host	host_species	inoculum	compartment	nutrient	experiment_round	growth_chamber	bio_replicate	read_count	fastq_gb	instrument_model	note
SRR29710188	SAMN42329259	Lj_NS_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	NS	RZ	low			B2	159149	0.022	Illumina NovaSeq 6000	
SRR29710189	SAMN42329258	Lj_NS_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	NS	RZ	low			B1	189038	0.026	Illumina NovaSeq 6000	
SRR29710190	SAMN42329257	Lj_NS_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	NS	RZ	high			B4	23305	0.003	Illumina NovaSeq 6000	
SRR29710195	SAMN42329254	Lj_NS_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	NS	RZ	high			B1	120601	0.016	Illumina NovaSeq 6000	
SRR29710210	SAMN42329191	Lj_AtSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	RZ	high			B2	3322928	0.441	Illumina NovaSeq 6000	
SRR29710228	SAMN42329102	Hv_HvSC_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	ES	high			B1	7132136	0.925	Illumina NovaSeq 6000	
SRR29710232	SAMN42329098	Hv_AtSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	RZ	low			B1	336107	0.045	Illumina NovaSeq 6000	
SRR29710236	SAMN42329095	Hv_AtSC_RZ_high_B2	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	AtSC	RZ	high			B2	394202	0.056	Illumina NovaSeq 6000	
SRR29710246	SAMN42328978	At_AtSC_RZ_high_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	RZ	high			B1	46050	0.007	Illumina NovaSeq 6000	
SRR29710250	SAMN42329395	R1_Lj_GC1_SSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES		R1	GC1	B2	1612843	0.2	Illumina NovaSeq 6000	
SRR29710251	SAMN42329394	R1_Lj_GC1_SSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	ES		R1	GC1	B1	857817	0.178	Illumina NovaSeq 6000	
SRR29710253	SAMN42329392	R1_Lj_GC1_LjSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES		R1	GC1	B3	2890209	0.259	Illumina NovaSeq 6000	
SRR29710257	SAMN42329388	R1_Lj_GC1_HvSC_ES_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES		R1	GC1	B3	2074040	0.23	Illumina NovaSeq 6000	
SRR29710258	SAMN42329387	R1_Lj_GC1_HvSC_ES_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	ES		R1	GC1	B2	3280856	0.308	Illumina NovaSeq 6000	
SRR29710264	SAMN42329382	R1_Lj_GC1_AtSC_ES_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	AtSC	ES		R1	GC1	B1	2587761	0.279	Illumina NovaSeq 6000	
SRR29710265	SAMN42329381	R1_Input_LjSC_2	Input (inoculum sequenced directly, no plant)			LjSC			R1			719718	0.135	Illumina NovaSeq 6000	second technical file
SRR29710267	SAMN42329379	R1_Input_HvSC	Input (inoculum sequenced directly, no plant)			HvSC			R1			141319	0.028	Illumina NovaSeq 6000	
SRR29710268	SAMN42329378	R1_Input_AtSC	Input (inoculum sequenced directly, no plant)			AtSC			R1			686881	0.131	Illumina NovaSeq 6000	
SRR29710270	SAMN42329376	R1_Hv_GC3_SSC_ES_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	SSC	ES		R1	GC3	B4	748386	0.09	Illumina NovaSeq 6000	
SRR29710271	SAMN42329007	At_HvSC_RZ_HL_orig_B2	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	HvSC	RZ				B2	95527	0.013	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710276	SAMN42329299	NP_HvSC_low_B2	No-plant control (inoculum in sterile substrate, no host)			HvSC		low			B2	114924	0.017	Illumina NovaSeq 6000	
SRR29710277	SAMN42329298	NP_HvSC_low_B1	No-plant control (inoculum in sterile substrate, no host)			HvSC		low			B1	166624	0.025	Illumina NovaSeq 6000	
SRR29710288	SAMN42329288	NP_AtSC_high_B3	No-plant control (inoculum in sterile substrate, no host)			AtSC		high			B3	87532	0.013	Illumina NovaSeq 6000	
SRR29710292	SAMN42329285	Lj_SSC_RZ_low_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	SSC	RZ	low			B4	5877905	0.741	Illumina NovaSeq 6000	
SRR29710305	SAMN42329224	Lj_LjSC_ES_high_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	LjSC	ES	high			B3	2034639	0.283	Illumina NovaSeq 6000	
SRR29710309	SAMN42329220	Lj_HvSC_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	RZ	low			B3	435075	0.059	Illumina NovaSeq 6000	
SRR29710310	SAMN42329219	Lj_HvSC_RZ_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	RZ	low			B2	911568	0.131	Illumina NovaSeq 6000	
SRR29710311	SAMN42329218	Lj_HvSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	RZ	low			B1	88204	0.013	Illumina NovaSeq 6000	
SRR29710312	SAMN42329217	Lj_HvSC_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	RZ	high			B4	1963931	0.255	Illumina NovaSeq 6000	
SRR29710319	SAMN42329211	Lj_HvSC_NOD_low_B2	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	NOD	low			B2	8049550	1.049	Illumina NovaSeq 6000	
SRR29710324	SAMN42329206	Lj_HvSC_NOD_high_B1	Reconstitution (host + inoculum, sterile substrate)	Lj	Lotus japonicus	HvSC	NOD	high			B1	3488051	0.366	Illumina NovaSeq 6000	
SRR29710328	SAMN42329129	Hv_LjSC_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	RZ	high			B4	480241	0.069	Illumina NovaSeq 6000	
SRR29710334	SAMN42329124	Hv_LjSC_ES_low_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES	low			B3	1943638	0.249	Illumina NovaSeq 6000	
SRR29710340	SAMN42329118	Hv_LjSC_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	LjSC	ES	high			B1	2797057	0.375	Illumina NovaSeq 6000	
SRR29710342	SAMN42329116	Hv_HvSC_RZ_low_B3	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	low			B3	62211	0.009	Illumina NovaSeq 6000	
SRR29710345	SAMN42329114	Hv_HvSC_RZ_low_B1	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	low			B1	129198	0.017	Illumina NovaSeq 6000	
SRR29710346	SAMN42329113	Hv_HvSC_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	Hv	Hordeum vulgare	HvSC	RZ	high			B4	1984197	0.27	Illumina NovaSeq 6000	
SRR29710360	SAMN42329077	At_SSC_RZ_high_B4	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	SSC	RZ	high			B4	2575	0.0	Illumina NovaSeq 6000	
SRR29710369	SAMN42329069	At_SSC_ES_HL_orig_B4	Original natural-soil-grown plant (source of culture collection)	At	Arabidopsis thaliana	SSC	ES				B4	3206176	0.372	Illumina NovaSeq 6000	tokens 'HL_orig' meaning not confirmed in accessible preprint text
SRR29710375	SAMN42328966	At_AtSC_ES_high_B1	Reconstitution (host + inoculum, sterile substrate)	At	Arabidopsis thaliana	AtSC	ES	high			B1	2582181	0.278	Illumina NovaSeq 6000	
